ocorrencia_cidade,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,ocorrencia_classificacao
SÃO JOSÉ DOS CAMPOS,SBSJ,2013-05-03,19:00:00,INCIDENTE
SÃO PAULO,SBSP,2013-05-03,14:12:00,INCIDENTE
GUARULHOS,SBGR,2013-05-08,17:28:00,INCIDENTE
GUARULHOS,SBGR,2013-05-08,14:20:00,INCIDENTE
TIETÊ,SDET,2013-05-25,13:30:00,INCIDENTE GRAVE
ARARAS,SDAA,2013-05-31,19:30:00,INCIDENTE
ATIBAIA,SDTB,2013-06-01,20:20:00,INCIDENTE
GUARULHOS,SBGR,2013-06-03,23:13:00,INCIDENTE
GUARULHOS,SBGR,2013-06-04,16:23:00,INCIDENTE
GUARULHOS,SBGR,2013-06-07,15:04:00,INCIDENTE
SÃO PAULO,Unkown,2013-06-17,18:30:00,INCIDENTE
SÃO PAULO,SBMT,2013-06-20,18:20:00,INCIDENTE
GUARULHOS,SBGR,2013-06-24,00:45:00,INCIDENTE
PENÁPOLIS,SDPN,2013-06-25,12:30:00,INCIDENTE GRAVE
BRAGANÇA PAULISTA,SBBP,2013-06-29,16:30:00,INCIDENTE
JUNDIAÍ,SBJD,2013-07-05,18:40:00,INCIDENTE
PIRASSUNUNGA,SDPY,2013-07-06,19:00:00,INCIDENTE
SÃO PAULO,SBMT,2013-07-11,17:15:00,INCIDENTE
CAMPINAS,SBKP,2013-07-24,03:30:00,INCIDENTE
SOROCABA,Unkown,2013-07-25,08:40:00,INCIDENTE
MIGUELÓPOLIS,Unkown,2013-07-30,13:30:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2013-08-10,15:50:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2013-08-16,19:30:00,INCIDENTE
JUNDIAÍ,SBJD,2013-08-17,06:30:00,INCIDENTE
JUNDIAÍ,SBJD,2013-08-17,11:30:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2013-08-18,19:04:00,INCIDENTE GRAVE
ANDRADINA,SDDN,2013-08-19,12:00:00,INCIDENTE
COSMÓPOLIS,Unkown,2013-08-23,16:33:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2013-08-26,18:00:00,INCIDENTE GRAVE
CAMPINAS,Unkown,2013-09-08,23:49:00,INCIDENTE
SÃO PAULO,SBMT,2013-09-14,18:41:00,INCIDENTE
SÃO PAULO,SBMT,2013-09-24,14:50:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2013-10-01,15:53:00,INCIDENTE
GUARULHOS,SBGR,2013-10-02,09:30:00,INCIDENTE
BRAGANÇA PAULISTA,SDJB,2013-10-10,16:40:00,INCIDENTE
SÃO PAULO,SBMT,2013-10-11,22:50:00,INCIDENTE GRAVE
RIBEIRÃO PRETO,SBRP,2013-10-11,20:36:00,INCIDENTE
CAMPINAS,Unkown,2013-10-18,16:15:00,INCIDENTE
BRAGANÇA PAULISTA,Unkown,2013-10-19,12:00:00,INCIDENTE
SÃO PAULO,SBMT,2013-10-25,15:00:00,INCIDENTE
TIETÊ,SDET,2013-10-31,19:00:00,INCIDENTE
GUARULHOS,SBGR,2013-11-02,16:00:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2013-11-13,14:00:00,INCIDENTE
BIRITIBA-MIRIM,Unkown,2013-11-20,15:30:00,INCIDENTE
CAMPINAS,SBKP,2013-11-24,11:06:00,INCIDENTE
SÃO PAULO,Unkown,2013-12-05,20:00:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2013-12-05,00:15:00,INCIDENTE
GUARULHOS,SBGR,2013-12-07,07:00:00,INCIDENTE
CAMPINAS,Unkown,2013-12-11,01:30:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2013-12-18,20:14:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2013-12-18,17:14:00,INCIDENTE
PRESIDENTE PRUDENTE,SBDN,2013-12-18,11:40:00,INCIDENTE
CAMPINAS,Unkown,2013-12-19,19:30:00,INCIDENTE
SÃO BERNARDO DO CAMPO,Unkown,2013-12-22,17:40:00,INCIDENTE
GUARULHOS,SBGR,2013-12-26,23:40:00,INCIDENTE
SÃO PAULO,SBMT,2013-12-27,15:26:00,INCIDENTE
SÃO PAULO,SBMT,2014-01-02,19:30:00,INCIDENTE
CAMPINAS,Unkown,2014-01-15,20:28:00,INCIDENTE
GUARULHOS,SBGR,2014-01-17,13:05:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2014-01-17,15:41:00,INCIDENTE
SÃO JOSÉ DO RIO PRETO,SBSR,2014-01-18,12:39:00,INCIDENTE
JUNDIAÍ,SBJD,2014-01-21,21:00:00,INCIDENTE
JOSÉ BONIFÁCIO,Unkown,2014-01-21,14:30:00,INCIDENTE GRAVE
SÃO PAULO,SBSP,2014-01-22,22:10:00,INCIDENTE
SÃO PAULO,SBMT,2014-01-22,21:55:00,INCIDENTE
SÃO PAULO,SBMT,2014-01-26,19:40:00,INCIDENTE
PIRACICABA,SDPW,2014-01-26,14:04:00,INCIDENTE
GUARUJÁ,SBST,2014-01-29,17:00:00,INCIDENTE GRAVE
ATIBAIA,SDTB,2014-02-01,20:00:00,INCIDENTE
BATATAIS,SDBA,2014-02-04,20:20:00,INCIDENTE GRAVE
GUARULHOS,SBGR,2014-02-05,13:00:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2014-02-10,21:44:00,INCIDENTE
ARARAQUARA,SBAQ,2014-02-13,17:45:00,INCIDENTE GRAVE
SOROCABA,SDCO,2014-02-21,20:44:00,INCIDENTE GRAVE
MARÍLIA,Unkown,2014-03-09,17:10:00,INCIDENTE GRAVE
RIBEIRÃO PRETO,Unkown,2014-03-09,14:21:00,INCIDENTE
UBATUBA,Unkown,2014-03-11,18:50:00,INCIDENTE
CAMPINAS,SBKP,2014-03-13,21:57:00,INCIDENTE
BOTUCATU,SDBK,2014-03-22,19:50:00,INCIDENTE
CAMPINAS,SBKP,2014-03-30,22:54:00,INCIDENTE
GUARULHOS,Unkown,2014-04-04,06:25:00,INCIDENTE
GUARULHOS,SBGR,2014-04-09,16:17:00,INCIDENTE GRAVE
GUARULHOS,SBGR,2014-04-19,14:41:00,INCIDENTE
SÃO PAULO,SBMT,2014-04-19,13:25:00,INCIDENTE
CAMPINAS,SBKP,2014-04-26,21:44:00,INCIDENTE
SOROCABA,SDCO,2014-04-29,18:50:00,INCIDENTE
ITANHAÉM,SDIM,2014-05-01,14:42:00,INCIDENTE GRAVE
TAUBATÉ,Unkown,2014-05-03,14:50:00,INCIDENTE GRAVE
DIADEMA,Unkown,2014-05-04,16:00:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2014-05-04,16:16:00,INCIDENTE
SÃO PAULO,SBMT,2014-05-08,11:27:00,INCIDENTE GRAVE
SÃO PAULO,SBMT,2014-05-14,20:20:00,INCIDENTE
SÃO JOSÉ DO RIO PRETO,SBSR,2014-05-17,11:53:00,INCIDENTE
JUNDIAÍ,SBJD,2014-05-17,18:42:00,INCIDENTE
CAMPINAS,SDAM,2014-05-28,13:25:00,INCIDENTE GRAVE
SÃO JOSÉ DOS CAMPOS,SBSJ,2014-05-29,13:32:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2014-05-31,15:25:00,INCIDENTE
GUARULHOS,SBGR,2014-06-01,18:00:00,INCIDENTE
JUNDIAÍ,SBJD,2014-06-06,16:38:00,INCIDENTE GRAVE
ITÁPOLIS,SDIO,2014-06-11,22:30:00,INCIDENTE
JUNDIAÍ,SBJD,2014-06-14,15:30:00,INCIDENTE
NOVA GRANADA,Unkown,2014-06-15,19:50:00,INCIDENTE
SÃO PAULO,SBSP,2014-07-02,18:17:00,INCIDENTE
CAMPINAS,SBKP,2014-07-03,13:30:00,INCIDENTE
CAMPINAS,SBKP,2014-07-03,15:10:00,INCIDENTE
BAURU,SBBU,2014-07-03,16:55:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2014-07-05,19:30:00,INCIDENTE
GUARULHOS,SBGR,2014-07-08,15:29:00,INCIDENTE
GUARULHOS,Unkown,2014-07-16,15:20:00,INCIDENTE
RIO CLARO,Unkown,2014-07-20,19:30:00,INCIDENTE
CAMPINAS,SBKP,2014-07-22,19:35:00,INCIDENTE
CAMPINAS,SBKP,2014-08-01,01:01:00,INCIDENTE
RIO CLARO,SDED,2014-08-04,19:00:00,INCIDENTE
SÃO JOSÉ DO RIO PRETO,SBSR,2014-08-05,18:30:00,INCIDENTE GRAVE
JUNDIAÍ,SBJD,2014-08-06,19:00:00,INCIDENTE
GUARULHOS,SBGR,2014-08-08,15:53:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2014-08-11,16:37:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2014-08-11,19:49:00,INCIDENTE
SÃO JOÃO DA BOA VISTA,Unkown,2014-08-16,19:08:00,INCIDENTE GRAVE
RIO CLARO,SDRK,2014-08-20,16:50:00,INCIDENTE GRAVE
SÃO JOSÉ DOS CAMPOS,SBSJ,2014-08-23,15:40:00,INCIDENTE GRAVE
RIBEIRÃO PRETO,SBRP,2014-08-24,17:55:00,INCIDENTE
NAZARÉ PAULISTA,Unkown,2014-08-24,19:00:00,INCIDENTE
CAMPINAS,SBKP,2014-08-28,12:10:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2014-09-01,09:25:00,INCIDENTE
CAMPINAS,SDAM,2014-09-10,20:50:00,INCIDENTE
SÃO PAULO,SBSP,2014-09-11,21:30:00,INCIDENTE
SÃO PAULO,SBMT,2014-09-15,17:15:00,INCIDENTE
SÃO JOSÉ DO RIO PRETO,SBSR,2014-09-27,12:57:00,INCIDENTE
SÃO PAULO,SBSP,2014-09-30,11:00:00,INCIDENTE
RIBEIRÃO PRETO,Unkown,2014-10-03,20:00:00,INCIDENTE
CAMPINAS,SBKP,2014-10-06,13:18:00,INCIDENTE
JUNDIAÍ,SBJD,2014-10-06,16:00:00,INCIDENTE
SÃO PAULO,Unkown,2014-10-08,16:00:00,INCIDENTE
SÃO PAULO,Unkown,2014-10-10,10:00:00,INCIDENTE
CAMPINAS,Unkown,2014-10-14,14:30:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2014-10-23,16:00:00,INCIDENTE GRAVE
ATIBAIA,SDTB,2014-10-28,18:20:00,INCIDENTE GRAVE
GUARULHOS,SBGR,2014-11-01,22:50:00,INCIDENTE
SÃO PAULO,SBMT,2014-11-02,11:30:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2014-11-04,03:18:00,INCIDENTE
GUARULHOS,SBGR,2014-11-11,15:00:00,INCIDENTE
SÃO PAULO,SBMT,2014-11-12,13:19:00,INCIDENTE
JUNDIAÍ,SBJD,2014-11-18,18:30:00,INCIDENTE
JUNDIAÍ,SBJD,2014-11-20,12:46:00,INCIDENTE
SÃO PAULO,SBMT,2014-11-30,16:40:00,INCIDENTE GRAVE
LINS,Unkown,2014-12-02,15:40:00,INCIDENTE GRAVE
CAMPINAS,SDAM,2014-12-02,16:20:00,INCIDENTE
SÃO PAULO,SBMT,2014-12-07,14:54:00,INCIDENTE GRAVE
SÃO JOSÉ DOS CAMPOS,SBSJ,2014-12-08,18:08:00,INCIDENTE
GUARULHOS,SBGR,2014-12-11,23:30:00,INCIDENTE
SÃO PAULO,SBSP,2014-12-16,16:45:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2014-12-26,13:50:00,INCIDENTE GRAVE
RIBEIRÃO PRETO,Unkown,2014-12-29,14:40:00,INCIDENTE
JUNDIAÍ,SBJD,2015-01-05,10:19:00,INCIDENTE
BRAGANÇA PAULISTA,Unkown,2015-01-06,11:30:00,INCIDENTE
SÃO PAULO,SBMT,2015-01-09,23:25:00,INCIDENTE
BAURU,SBBU,2015-01-11,22:05:00,INCIDENTE
JUNDIAÍ,SBJD,2015-01-17,18:40:00,INCIDENTE
JUNDIAÍ,SBJD,2015-01-17,17:05:00,INCIDENTE
CAMPINAS,SBKP,2015-01-19,13:30:00,INCIDENTE
RIO CLARO,SDRK,2015-01-22,18:00:00,INCIDENTE
SÃO PAULO,Unkown,2015-02-01,12:15:00,INCIDENTE
SÃO PAULO,SBMT,2015-02-06,16:28:00,INCIDENTE
CAMPINAS,Unkown,2015-02-11,11:55:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2015-02-19,17:48:00,INCIDENTE
GUARULHOS,SBGR,2015-02-22,15:35:00,INCIDENTE
GUARULHOS,SBGR,2015-02-24,19:30:00,INCIDENTE
CAMPINAS,Unkown,2015-02-26,22:31:00,INCIDENTE
SÃO PAULO,SBSP,2015-02-27,08:50:00,INCIDENTE
SÃO PAULO,Unkown,2015-02-27,14:10:00,INCIDENTE
GUARULHOS,SBGR,2015-02-27,21:27:00,INCIDENTE
SOROCABA,SDCO,2015-03-13,14:40:00,INCIDENTE
CAMPINAS,SBKP,2015-03-28,16:26:00,INCIDENTE
JUNDIAÍ,SBJD,2015-03-28,17:32:00,INCIDENTE
JUNDIAÍ,SBJD,2015-03-28,15:51:00,INCIDENTE
BAURU,SBBU,2015-03-30,19:40:00,INCIDENTE
VERA CRUZ,SDVE,2015-04-02,17:30:00,INCIDENTE GRAVE
SÃO JOAQUIM DA BARRA,SDJO,2015-04-05,11:00:00,INCIDENTE GRAVE
SÃO PAULO,SBMT,2015-04-09,19:20:00,INCIDENTE
SÃO PAULO,SBSP,2015-04-10,21:18:00,INCIDENTE
TABOÃO DA SERRA,SIBH,2015-04-24,17:00:00,INCIDENTE
GUARULHOS,SBGR,2015-04-30,22:00:00,INCIDENTE
JUNDIAÍ,SBJD,2015-05-02,14:25:00,INCIDENTE
SANTOS,SBST,2015-05-07,11:30:00,INCIDENTE
SÃO PAULO,Unkown,2015-05-07,13:40:00,INCIDENTE
GUARULHOS,SNBR,2015-05-12,15:30:00,INCIDENTE
SÃO PAULO,SBMT,2015-05-20,16:40:00,INCIDENTE
SÃO ROQUE,Unkown,2015-05-21,17:15:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,Unkown,2015-05-21,11:50:00,INCIDENTE
SÃO PAULO,SBMT,2015-05-23,15:30:00,INCIDENTE
CAMPINAS,SBKP,2015-05-24,18:00:00,INCIDENTE
ITUPEVA,Unkown,2015-05-25,19:14:00,INCIDENTE
GUARATINGUETÁ,SBGW,2015-06-10,19:15:00,INCIDENTE GRAVE
CAMPINAS,SBGR,2015-06-14,12:27:00,INCIDENTE
SÃO PAULO,SBMT,2015-06-21,18:20:00,INCIDENTE
SÃO PAULO,SBMT,2015-06-25,14:25:00,INCIDENTE
SÃO PAULO,SBGR,2015-06-26,03:05:00,INCIDENTE
SÃO PAULO,SBMT,2015-06-30,12:45:00,INCIDENTE
SÃO PAULO,SBMT,2015-07-06,12:50:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2015-07-07,12:40:00,INCIDENTE GRAVE
SÃO JOSÉ DOS CAMPOS,SBSP,2015-07-10,19:58:00,INCIDENTE
GUARULHOS,SBGR,2015-07-11,04:22:00,INCIDENTE
SÃO PAULO,SBSP,2015-07-11,16:51:00,INCIDENTE
SÃO PAULO,SBMT,2015-07-20,14:05:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2015-07-27,15:45:00,INCIDENTE
SÃO PAULO,SBMT,2015-07-28,19:07:00,INCIDENTE
JUNDIAÍ,SBJD,2015-08-11,12:20:00,INCIDENTE GRAVE
ITÁPOLIS,SDIO,2015-08-17,12:45:00,INCIDENTE GRAVE
RIBEIRÃO PRETO,SBRP,2015-08-18,23:00:00,INCIDENTE
JUNDIAÍ,SBJD,2015-08-23,20:05:00,INCIDENTE
JUNDIAÍ,SBJD,2015-09-01,14:50:00,INCIDENTE
SÃO PAULO,SBGR,2015-09-08,19:25:00,INCIDENTE
JUNDIAÍ,SBJD,2015-09-20,21:05:00,INCIDENTE
BAURU,Unkown,2015-09-25,10:08:00,INCIDENTE
CAMPINAS,SBKP,2015-10-01,21:25:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2015-10-01,19:30:00,INCIDENTE
JUNDIAÍ,SBJD,2015-10-11,18:20:00,INCIDENTE
SÃO PAULO,SBMT,2015-10-14,11:50:00,INCIDENTE
GUARATINGUETÁ,SBGW,2015-10-18,15:30:00,INCIDENTE GRAVE
GUARULHOS,SBGR,2015-10-22,16:52:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2015-10-24,12:36:00,INCIDENTE
GUARULHOS,SBGR,2015-10-29,01:40:00,INCIDENTE
SÃO PAULO,SBSP,2015-11-02,18:35:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2015-11-05,19:15:00,INCIDENTE GRAVE
SÃO PAULO,SBSP,2015-11-06,18:20:00,INCIDENTE
SÃO JOSÉ DO RIO PRETO,SBSR,2015-11-24,20:31:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2015-11-25,10:32:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2015-11-27,11:50:00,INCIDENTE
SÃO PAULO,SBMT,2015-11-29,11:10:00,INCIDENTE
GUARULHOS,SBGR,2015-12-01,02:48:00,INCIDENTE
JUNDIAÍ,SBJD,2015-12-02,17:42:00,INCIDENTE
CAMPINAS,SBKP,2015-12-08,16:19:00,INCIDENTE
SÃO PAULO,SBSP,2015-12-12,15:30:00,INCIDENTE
MARÍLIA,SBML,2015-12-13,13:50:00,INCIDENTE
LOUVEIRA,SDAM,2015-12-15,14:20:00,INCIDENTE
JUNDIAÍ,SBJD,2015-12-18,18:45:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2015-12-22,06:27:00,INCIDENTE
SÃO PAULO,SBMT,2015-12-22,13:07:00,INCIDENTE
ITABERÁ,Unkown,2015-12-24,14:00:00,INCIDENTE GRAVE
GUARULHOS,SBGR,2015-12-25,19:00:00,INCIDENTE
AVARÉ,SBDN,2016-01-02,16:00:00,INCIDENTE
JUNDIAÍ,SBJD,2016-01-21,12:58:00,INCIDENTE GRAVE
RIBEIRÃO PRETO,SBPP,2016-01-21,19:01:00,INCIDENTE
SÃO PAULO,SBMT,2016-01-23,14:15:00,INCIDENTE
SÃO PAULO,SBMT,2016-01-28,19:40:00,INCIDENTE
CAMPINAS,SBKP,2016-01-31,14:20:00,INCIDENTE
SÃO PAULO,Unkown,2016-02-08,13:20:00,INCIDENTE
ITANHAÉM,SDIM,2016-02-10,13:00:00,INCIDENTE
SÃO PAULO,SBMT,2016-02-13,18:10:00,INCIDENTE
JUNDIAÍ,SBJD,2016-02-21,15:40:00,INCIDENTE
ITATIBA,Unkown,2016-02-22,11:00:00,INCIDENTE
SÃO PAULO,SBSP,2016-03-01,14:15:00,INCIDENTE
SÃO PAULO,SBMT,2016-03-09,16:10:00,INCIDENTE
CAMPINAS,SBKP,2016-03-11,22:02:00,INCIDENTE
SÃO PAULO,SBGR,2016-03-13,16:50:00,INCIDENTE
CAMPINAS,SBKP,2016-03-21,10:13:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2016-03-24,14:50:00,INCIDENTE
ARARAS,SDAA,2016-03-25,12:50:00,INCIDENTE GRAVE
SÃO JOSÉ DOS CAMPOS,SBSJ,2016-03-25,13:40:00,INCIDENTE
PIRACICABA,SDPW,2016-03-27,16:35:00,INCIDENTE
IBITINGA,SDIG,2016-04-02,13:00:00,INCIDENTE
GUARULHOS,SBGR,2016-04-12,11:30:00,INCIDENTE
SÃO PAULO,SBMT,2016-04-13,19:40:00,INCIDENTE
SÃO PAULO,SBSP,2016-04-14,10:06:00,INCIDENTE
SÃO PAULO,SBSP,2016-04-14,19:42:00,INCIDENTE
JUNDIAÍ,SBJD,2016-04-14,19:35:00,INCIDENTE
SÃO PAULO,SBSP,2016-04-28,23:13:00,INCIDENTE
CAJAMAR,Unkown,2016-05-05,19:00:00,INCIDENTE
CAMPINAS,SDAM,2016-05-14,12:30:00,INCIDENTE GRAVE
PIRACICABA,SDPW,2016-06-25,13:59:00,INCIDENTE GRAVE
BRAGANÇA PAULISTA,SBBP,2016-06-30,15:25:00,INCIDENTE GRAVE
BARRETOS,SNBA,2016-07-12,17:00:00,INCIDENTE
SÃO PAULO,SBGR,2016-07-26,19:40:00,INCIDENTE
SÃO PAULO,SBSP,2016-08-15,18:35:00,INCIDENTE
GUARULHOS,SBGR,2016-08-27,13:53:00,INCIDENTE
SÃO PAULO,SBSP,2016-09-01,13:26:00,INCIDENTE
SÃO PAULO,SBMT,2016-09-08,18:02:00,INCIDENTE
JUNDIAÍ,SBJD,2016-09-15,14:05:00,INCIDENTE
GUARULHOS,SBGR,2016-09-18,02:37:00,INCIDENTE
GUARULHOS,SBGR,2016-09-23,23:13:00,INCIDENTE
BRAGANÇA PAULISTA,SDVH,2016-09-24,13:35:00,INCIDENTE GRAVE
SÃO PAULO,Unkown,2016-09-28,15:06:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2016-09-29,13:05:00,INCIDENTE
TAUBATÉ,SBTA,2016-10-12,16:30:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2016-10-12,02:50:00,INCIDENTE
SÃO PAULO,SBMT,2016-10-13,18:47:00,INCIDENTE
GUARULHOS,SBGR,2016-10-15,02:10:00,INCIDENTE
BRAGANÇA PAULISTA,SDVH,2016-10-17,19:30:00,INCIDENTE GRAVE
CAMPINAS,SBKP,2016-10-25,10:40:00,INCIDENTE
GUARULHOS,SBGR,2016-10-27,13:40:00,INCIDENTE
CAMPINAS,SBKP,2016-10-28,19:50:00,INCIDENTE
SÃO PAULO,SBMT,2016-10-28,19:53:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2016-11-04,21:55:00,INCIDENTE
SÃO PAULO,SBMT,2016-11-06,16:06:00,INCIDENTE
JUNDIAÍ,SBJD,2016-11-07,11:30:00,INCIDENTE
UBATUBA,SDUB,2016-11-09,14:35:00,INCIDENTE
CAMPINAS,SBKP,2016-11-10,20:40:00,INCIDENTE
ANDRADINA,SDDN,2016-11-17,18:00:00,INCIDENTE
JUNDIAÍ,SBJD,2016-11-20,18:00:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2016-11-28,16:07:00,INCIDENTE GRAVE
SÃO PAULO,SBMT,2016-12-01,14:45:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2016-12-02,20:46:00,INCIDENTE GRAVE
SÃO PAULO,SBSP,2016-12-04,11:54:00,INCIDENTE
SOROCABA,SDCO,2016-12-07,15:43:00,INCIDENTE
GUARULHOS,SBGR,2016-12-07,20:45:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2016-12-07,19:10:00,INCIDENTE GRAVE
SÃO JOSÉ DOS CAMPOS,SBSJ,2016-12-15,13:30:00,INCIDENTE
JUNDIAÍ,SBJD,2016-12-15,14:20:00,INCIDENTE
SÃO PAULO,SBMT,2016-12-19,09:48:00,INCIDENTE
SÃO PAULO,SBMT,2016-12-23,14:57:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2017-01-13,14:45:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2017-01-14,15:06:00,INCIDENTE
SÃO PAULO,SBMT,2017-01-16,12:30:00,INCIDENTE
GUARULHOS,SBGR,2017-01-18,15:47:00,INCIDENTE
ITUPEVA,SBJD,2017-01-19,15:20:00,INCIDENTE
GUARULHOS,SBBR,2017-02-09,00:11:00,INCIDENTE GRAVE
SÃO PAULO,SDIH,2017-02-10,13:39:00,INCIDENTE
GUARULHOS,SBGR,2017-02-15,20:00:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2017-02-20,21:40:00,INCIDENTE
SÃO PAULO,SBSP,2017-02-22,21:48:00,INCIDENTE GRAVE
ARARAQUARA,SBAQ,2017-02-22,10:30:00,INCIDENTE
GUARULHOS,SBGR,2017-02-23,10:17:00,INCIDENTE
SÃO PAULO,SBSP,2017-03-03,00:03:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2017-03-12,13:00:00,INCIDENTE
GUARULHOS,SBGR,2017-03-18,04:17:00,INCIDENTE
GUARULHOS,SBGR,2017-03-21,01:30:00,INCIDENTE GRAVE
SÃO PAULO,SBSP,2017-03-21,16:48:00,INCIDENTE
